公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
000001,深 发 展,深圳发展银行股份有限公司,"SHENZHEN DEVELOPMENT BANK CO.,LTD",广东省深圳市深南东路5047号深圳发展银行大厦,1,深发展Ａ,4/3/1991,"3,105,433,762","2,921,206,102",华南,广东,深圳市,I 金融保险,www.sdb.com.cn
000002,万 科,万科企业股份有限公司,"CHINA VANKE CO., LTD",广东省深圳市盐田区大梅沙环梅路33号万科中心,2,万 科Ａ,1/29/1991,"9,680,254,750","9,652,357,126",华南,广东,深圳市,J 房地产业,www.vanke.com
000004,国农科技,深圳中国农大科技股份有限公司,"SHENZHEN CAU TECHNOLOGY CO., LTD",广东省深圳市福田区商报路奥林匹克大厦6层D-E室,4,*ST国农,12/1/1990,"83,976,684","70,248,687",华南,广东,深圳市,F 运输仓储,www.cau-tech.com
000005,世纪星源,深圳世纪星源股份有限公司,SHENZHEN FOUNTAIN CORPORATION,广东省深圳市人民南路发展中心大厦13楼,5,世纪星源,12/10/1990,"914,333,607","912,315,959",华南,广东,深圳市,M 综合类,www.fountain.com.cn
000006,深 振 业,深圳市振业(集团)股份有限公司,"SHENZHEN ZHENYE(GROUP) CO.,LTD",深圳市罗湖区宝安南路2014号振业大厦B座11-17层,6,深振业Ａ,4/27/1992,"507,183,262","493,450,916",华南,广东,深圳市,J 房地产业,www.zhenye.com
000007,深零七,深圳市零七股份有限公司,"SHENZHEN Zero-Seven CO., LTD",深圳市华强北路1058 号现代之窗大厦A 座25 层,7,ST零七,4/13/1992,"184,965,363","184,776,701",华南,广东,深圳市,J 房地产业,
000008,宝 利 来,广东宝利来投资股份有限公司,BAOLILAI INVESTMENT CO.，LTD. GUANGDONG,广东省深圳市南山区内环路5号锦兴工业小区管理楼二楼,8,ST宝利来,5/7/1992,"73,653,208","51,662,381",华南,广东,深圳市,G 信息技术,
000009,中国宝安,中国宝安集团股份有限公司,"CHINA BAOAN GROUP CO.,LTD",深圳市笋岗东路1002 号宝安广场A 座28-29 层,9,中国宝安,6/25/1991,"1,090,750,529","988,645,265",华南,广东,深圳市,M 综合类,www.chinabaoan.com
000010,深 华 新,深圳市华新股份有限公司,"SHENZHEN HUAXIN CO., LTD",广东省深圳市福田区振兴路华美大厦西座五楼530 室,10,S ST华新,10/27/1995,"147,017,448","67,599,944",华南,广东,深圳市,H 批发零售,
000011,深 物 业,深圳市物业发展(集团)股份有限公司,"SHENZHEN PROPERTIES & RESOURCES DEVELOPMENT (GROUP)CO., LTD",广东省深圳市人民南路国贸大厦39、42层,11,深物业A,3/30/1992,"528,373,849","139,706,036",华南,广东,深圳市,M 综合类,www.szwuye.com.cn
000012,南玻集团,中国南玻集团股份有限公司,"CSG HOLDING CO.,LTD.",中国深圳市蛇口工业六路一号南玻大厦,12,南 玻Ａ,2/28/1992,"774,116,805","566,878,313",华南,广东,深圳市,C6 金属非金属,www.csgholding.com
000014,沙河股份,沙河实业股份有限公司,"SHAHE INDUSTRIAL CO.,LTD.",广东省深圳市南山区沙河商城七楼,14,沙河股份,6/2/1992,"201,705,187","201,701,025",华南,广东,深圳市,J 房地产业,www.shahe.cn
000016,深 康 佳,康佳集团股份有限公司,"KONKA GROUP CO.,LTD",广东省深圳市南山区华侨城,16,深康佳Ａ,3/27/1992,"798,296,900","599,424,000",华南,广东,深圳市,C5 电子,www.konka.com
000017,深 中 华,深圳中华自行车(集团)股份有限公司,"SHENZHEN CHINA BICYCLE COMPANY(HOLDINGS) CO.,LTD",中国广东省深圳市布心路三零零八号,17,*ST中华A,3/31/1992,"302,984,965","116,133,107",华南,广东,深圳市,C7 机械设备,www.china-cbc.com
000018,深 中 冠,深圳中冠纺织印染股份有限公司,"SHENZHEN VICTOR ONWARD TEXTILE INDUSTRIAL CO.,LTD",广东省深圳市龙岗区葵涌镇白石岗葵鹏路26号,18,*ST中冠A,6/16/1992,"99,720,453","99,579,574",华南,广东,深圳市,C1 纺织服装,www.chinaszvo.com
000019,深 深 宝,深圳市深宝实业股份有限公司,"SHENZHEN SHENBAO INDUSTRIAL CO.,LTD",广东省深圳市笋岗路1002号宝安广场B、C座28层,19,深深宝Ａ,10/12/1992,"155,787,088","141,074,036",华南,广东,深圳市,C0 食品饮料,www.sbsy.com.cn
000020,深 华 发,深圳中恒华发股份有限公司,"SHENZHEN HUAFA ELECTRONICS CO., LTD.",广东省深圳市福田区华发北路411栋,20,深华发Ａ,4/28/1992,"181,165,391","64,656,289",华南,广东,深圳市,C5 电子,www.hwafa.com
000021,长城开发,深圳长城开发科技股份有限公司,"SHENZHEN KAIFA TECHNOLOGY CO., LTD",广东省深圳市福田区彩田路7006号,21,长城开发,2/2/1994,"879,518,521","878,596,437",华南,广东,深圳市,G 信息技术,www.kaifa.com.cn
000022,深 赤 湾,深圳赤湾港航股份有限公司,"SHENZHEN CHIWAN WHARF HOLDINGS CO.,LTD",广东省深圳市赤湾港,22,深赤湾Ａ,5/5/1993,"464,868,300","464,789,805",华南,广东,深圳市,F 运输仓储,www.szcwh.com
000023,深 天 地,深圳市天地(集团)股份有限公司,"SHENZHEN UNIVERSE (GROUP)CO.,LTD",深圳市高新技术产业园北区朗山路东物商业大楼10 楼,23,深天地Ａ,4/29/1993,"138,756,240","91,834,895",华南,广东,深圳市,E 建筑业,www.000023.cn
000024,招商地产,招商局地产控股股份有限公司,"CHINA MERCHANTS PROPERTY DEVELOPMENT CO., LTD",广东省深圳南山区蛇口工业区新时代广场9楼,24,招商地产,6/7/1993,"1,377,957,213","646,420,444",华南,广东,深圳市,J 房地产业,www.cmpd.cn
000025,深 特 力,深圳市特力(集团)股份有限公司,"SHENZHEN TELLUS HOLDING CO.,LTD",广东省深圳市罗湖区水贝二路56号特力大厦三楼,25,特 力Ａ,6/21/1993,"193,881,600","179,294,544",华南,广东,深圳市,M 综合类,www.tellus.cn
000026,飞 亚 达,深圳市飞亚达(集团)股份有限公司,SHENZHEN FIYTA HOLDINGS LTD.,广东省深圳市南山区高新南一道飞亚达科技大厦,26,飞亚达Ａ,6/3/1993,"190,997,999","79,546,974",华南,广东,深圳市,C7 机械设备,www.fiyta.com.cn
000027,深圳能源,深圳能源集团股份有限公司,"Shenzhen Energy Group Co., Ltd.",深圳市区福田区深南中路2068 号华能大厦5，33，35-36， 38-41层,27,深圳能源,9/3/1993,"2,202,495,332","598,657,162",华南,广东,深圳市,D 水电煤气,www.sec.com.cn
000028,一致药业,深圳一致药业股份有限公司,"SHENZHEN ACCORD PHARMACEUTICAL CO., LTD",广东省深圳市八卦四路15号一致药业大厦,28,一致药业,8/9/1993,"233,263,800","233,259,086",华南,广东,深圳市,C8 医药生物,www.szaccord.com.cn
000029,深房集团,深圳经济特区房地产(集团)股份有限公司,"SHENZHEN SPECIAL ECONOMIC ZONE REAL ESTATE（GROUP）CO.,LTD.",广东省深圳市人民南路3005号深房广场47楼,29,深深房Ａ,9/15/1993,"891,660,000","891,660,000",华南,广东,深圳市,J 房地产业,
000030,盛润股份,广东盛润集团股份有限公司,"GUANGDONG SUNRISE HOLDINGS CO.,LTD",深圳市福田区泰然大道劲松大厦5D,30,*ST盛润A,9/29/1993,"248,820,000","64,559,987",华南,广东,深圳市,C9 其他制造业,www.lionda.com
000031,中粮地产,中粮地产（集团）股份有限公司,"COFCO PROPERTY (GROUP) CO.,LTD.",广东省深圳市宝安区湖滨路5号宝恒大厦,31,中粮地产,10/8/1993,"1,813,731,596","1,813,716,240",华南,广东,深圳市,J 房地产业,www.cofco-property.cn
000032,深 桑 达,深圳市桑达实业股份有限公司,"SHENZHEN SED INDUSTRY CO.,LTD",深圳市南山区科技园科技路1 号桑达科技大厦15―17 楼,32,深桑达Ａ,10/28/1993,"232,864,320","232,819,164",华南,广东,深圳市,G 信息技术,www.sedind.com
000033,新都酒店,深圳新都酒店股份有限公司,"SHENZHEN CENTURY PLAZA HOTEL CO.,LTD",广东省深圳市春风路一号,33,新都酒店,1/3/1994,"329,402,050","329,400,349",华南,广东,深圳市,K 社会服务,www.szcenturyplaza.com
000034,深信泰丰,深圳市深信泰丰(集团)股份有限公司,"SHENZHEN SHENXIN TAIFENG GROUP CO., LTD",广东省深圳市宝安区宝城宝民一路102号,34,*ST深泰,5/9/1994,"357,973,531","188,527,420",华南,广东,深圳市,M 综合类,www.sxtf.com.cn
000035,中 科 健,中国科健股份有限公司,"CHINA KEJIAN CO.,LTD",广东省深圳市南山区蛇口南海大道1065号南山大厦南座700A,35,*ST科健,4/8/1994,"150,006,560","85,392,560",华南,广东,深圳市,G 信息技术,www.chinakejian.net
000036,华联控股,华联控股股份有限公司,CHINA UNION HOLDINGS LTD,广东省深圳市深南中路华联大厦17楼,36,*ST华控,6/17/1994,"1,123,887,712","1,123,882,733",华南,广东,深圳市,C1 纺织服装,www.udcgroup.com
000037,深 南 电,深圳南山热电股份有限公司,"SHENZHEN NANSHAN POWER STATION CO.,LTD",广东省深圳市南山区月亮湾大道18号,37,深南电Ａ,7/1/1994,"338,908,150","338,891,172",华南,广东,深圳市,D 水电煤气,www.nsrd.com.cn
000038,深大通,深圳大通实业股份有限公司,"SHENZHEN CAPSTONE INDUSTRIAL CO.,LTD",广东省深圳市华侨城东部工业区,38,*ST大通,8/8/1994,"96,227,998","24,881,998",华南,广东,深圳市,G 信息技术,
000039,中集集团,中国国际海运集装箱(集团)股份有限公司,"CHINA INTERNATIONAL MARINE CONTAINERS (GROUP) CO., LTD",深圳市南山蛇口工业区港湾大道2 号中集研发中心8 楼,39,中集集团,4/8/1994,"1,231,915,542","1,231,297,165",华南,广东,深圳市,C6 金属非金属,www.cimc.com
000040,深 鸿 基,鸿基地产集团股份有限公司,"SHENZHEN HONGKAI(GROUP) CO.,LTD",广东省深圳市罗湖区东门中路1011号鸿基大厦25―27楼,40,深 鸿 基,8/8/1994,"469,593,364","365,971,237",华南,广东,深圳市,M 综合类,www.0040.com.cn
000042,深 长 城,深圳市长城投资控股股份有限公司,"SHENZHEN CHANGCHENG REAL ESTATE (GROUP) HOLDINGS CO.,LTD",广东省深圳市福田区百花五路长源楼,42,深 长 城,9/21/1994,"239,463,040","239,295,494",华南,广东,深圳市,J 房地产业,www.cctzkg.com
000043,中航地产,中航地产股份有限公司,SHENZHEN CATIC REAL ESTATE CO〉，LTD,深圳市福田区振华路163号飞亚达大厦六楼,43,中航地产,9/28/1994,"222,320,472","138,691,405",华南,广东,深圳市,M 综合类,www.carec.com.cn
000045,深 纺 织,深圳市纺织(集团)股份有限公司,"SHENZHEN TEXTILE (HOLDINGS) CO., LTD",广东省深圳市福田区华强北路3号深纺大厦六楼,45,深纺织Ａ,8/15/1994,"195,624,000","195,576,413",华南,广东,深圳市,C1 纺织服装,www.chinasthc.com
000046,泛海建设,泛海建设集团股份有限公司,OCEANWIDE　CONSTRUCTION GROUP CO.，LTD.,广东省深圳市福田区福华一路深圳国际商会大厦A 座十六楼,46,泛海建设,9/12/1994,"2,278,655,884","444,517,980",华南,广东,深圳市,J 房地产业,www.fhjs.cn
000048,康 达 尔,深圳市康达尔（集团）股份有限公司,"SHENZHEN KONDARL(GROUP)CO., LTD",广东省深圳市罗湖区深南东路1086号集浩大厦二、三楼,48,ST康达尔,11/1/1994,"390,768,671","379,850,252",华南,广东,深圳市,C0 食品饮料,www.kondarl.com
000049,德赛电池,深圳市德赛电池科技股份有限公司,"SHENZHEN DESAY BATTERY TECHNOLOGY CO.,LTD",广东省深圳市深圳市红荔西路7002号第壹世界广场A座18楼B,49,德赛电池,3/20/1995,"136,829,159","136,786,972",华南,广东,深圳市,C7 机械设备,www.desaybattery.com
000050,天 马,天马微电子股份有限公司,"TIANMA MICROELECTRONICS CO., LTD",广东省深圳市深南中路中航苑航都大厦22层南,50,深天马Ａ,3/15/1995,"574,237,500","312,187,444",华南,广东,深圳市,C5 电子,www.tianma.com.cn
000053,深 基 地,深圳赤湾石油基地股份有限公司,"SHENZHEN CHIWAN PETROLEUM SUPPLY BASE CO., LTD",广东省深圳市南山区赤湾基地楼,,,,0,0,华南,广东,深圳市,B 采掘业,www.chiwanbase.com/
000054,建设摩托,重庆建设摩托车股份有限公司,"CHONGQING JIANSHE MOTORCYCLE CO.,LTD",重庆市巴南区花溪工业园建设大道1号,,,,0,0,西南,重庆,重庆市,C7 机械设备,www.jianshe.com.cn
000055,方大集团,方大集团股份有限公司,"CHINA FANGDA GROUP CO., LTD",广东省深圳市高新区科技南十二路方大大厦,55,方大集团,4/15/1996,"232,693,945","232,624,317",华南,广东,深圳市,C6 金属非金属,www.fangda.com
000056,深 国 商,深圳市国际企业股份有限公司,"SHENZHEN INTERNATIONAL ENTERPRISE CO.,LTD",广东省深圳市人民南路发展中心大厦23层,56,深 国 商,7/8/1996,"119,212,992","118,892,232",华南,广东,深圳市,H 批发零售,www.china-ia.com
000058,深 赛 格,深圳赛格股份有限公司,"SHENZHEN SEG CO.,LTD",广东省深圳市福田区华强北路群星广场A座31楼,58,深 赛 格,12/26/1996,"538,337,692","538,302,228",华南,广东,深圳市,C5 电子,www.segcl.com.cn
000059,辽通化工,辽宁华锦通达化工股份有限公司,"LIAONI HUAJIN TONGDA CHEMICALS CO.,LTD",辽宁省盘锦市双台区红旗大街,59,辽通化工,1/30/1997,"1,200,506,367","986,225,214",东北,辽宁,盘锦市,C4 石化塑胶,www.lthg.com
000060,中金岭南,深圳市中金岭南有色金属股份有限公司,"SHENZHEN ZHONGJIN LINGNAN NONFEMET CO.,LTD",广东省深圳市福田区车公庙深南大道6013号中国有色大厦24楼,60,中金岭南,1/23/1997,"1,023,792,000","1,022,720,541",华南,广东,深圳市,C6 金属非金属,www.nonfemet.com
000061,农 产 品,深圳市农产品股份有限公司,"SHENZHEN AGRICULTURAL PRODUCTS CO., LTD",广东省深圳市布吉路1021号天乐大厦22楼,61,农 产 品,1/10/1997,"768,507,851","645,069,203",华南,广东,深圳市,H 批发零售,www.szap.com
000062,深圳华强,深圳华强实业股份有限公司,"SHENZHEN HUAQIANG INDUSTRY CO., LTD",深圳市南山区科技中一路西华强高新发展大楼,62,深圳华强,1/30/1997,"666,949,797","166,873,765",华南,广东,深圳市,M 综合类,www.szhq.com
000063,中兴通讯,中兴通讯股份有限公司,ZTE CORPORATION,广东省深圳市南山区高新技术产业园科技南路中兴通讯大厦,63,中兴通讯,11/18/1997,"1,561,384,764","1,489,762,540",华南,广东,深圳市,G 信息技术,www.zte.com.cn
000065,北方国际,北方国际合作股份有限公司,NORINCO INTERNATIONAL COOPERATION LTD.,北京市丰台区南四环西路188号总部基地12区47号楼3层,65,北方国际,6/5/1998,"162,437,120","162,437,120",华北,北京,北京市,E 建筑业,www.norinco-intl.com
000066,长城电脑,中国长城计算机深圳股份有限公司,"CHINA GREATWALL COMPUTER SHENZHEN CO., LTD",广东省深圳南山区科技工业园长城计算机大厦,66,长城电脑,6/26/1997,"550,189,800","550,078,438",华南,广东,深圳市,G 信息技术,www.greatwall.com.cn
000068,赛格三星,深圳赛格三星股份有限公司,"SHENZHEN SEG SAMSUNG GLASS CO., LTD",深圳市大工业区兰竹大道以北CH3 主厂房,68,ST三星,6/11/1997,"896,671,464","608,852,527",华南,广东,深圳市,C5 电子,www.ssg.com.cn
000069,华 侨 城,深圳华侨城控股股份有限公司,"SHENZHEN OVERSEAS CHINESE TOWN HOLDING CO.,LTD",广东省深圳市南山区华侨城办公大楼三楼,69,华侨城Ａ,9/10/1997,"3,107,478,020","1,337,153,267",华南,广东,深圳市,K 社会服务,www.octholding.com
000070,特发信息,深圳市特发信息股份有限公司,"SHENZHEN SDG INFORMATION CO., LTD",广东省深圳市南山区科技工业园科丰路2号通讯大厦4楼,70,特发信息,5/11/2000,"250,000,000","237,694,361",华南,广东,深圳市,C5 电子,www.sdgi0070.com
000078,海王生物,深圳市海王生物工程股份有限公司,"SHENZHEN NEPTUNUS BIOENGINEERING CO.,LTD",广东省深圳市南山区郎山二路北海王技术中心科研大楼1栋,78,海王生物,12/18/1998,"652,510,385","439,267,983",华南,广东,深圳市,C8 医药生物,www.neptunus.com
000088,盐 田 港,深圳市盐田港股份有限公司,"SHENZHEN YAN TIAN PORT HOLDINGS CO.,LTD",广东省深圳市盐田区盐田港海港大厦十八――二十层,88,盐 田 港,7/28/1997,"1,245,000,000","406,157,404",华南,广东,深圳市,F 运输仓储,www.yantian-port.com
000089,深圳机场,深圳市机场股份有限公司,"SHENZHEN AIRPORT CO.,LTD",广东省深圳市宝安区宝安机场第一办公楼三、四层,89,深圳机场,4/20/1998,"1,690,243,200","653,139,911",华南,广东,深圳市,F 运输仓储,www.szairport.com
000090,深 天 健,深圳市天健(集团)股份有限公司,"SHENZHEN TONGE GROUP CO.,LTD",广东省深圳市福田区红荔西路7058号市政大厦,90,深 天 健,7/21/1999,"456,637,020","435,947,604",华南,广东,深圳市,E 建筑业,www.tonge.com.cn
000096,广聚能源,深圳市广聚能源股份有限公司,"SHENZHEN GUANGJU ENERGY CO., LTD",深圳市南山区海德三道天利中央商务广场22 楼,96,广聚能源,7/24/2000,"528,000,000","510,789,248",华南,广东,深圳市,H 批发零售,www.gj000096.com
000099,中信海直,中信海洋直升机股份有限公司,"CITIC OFFSHORE HELICOPTER CO.,LTD",广东省深圳市罗湖区解放西路188号农业银行大厦19楼,99,中信海直,7/31/2000,"513,600,000","274,027,936",华南,广东,深圳市,F 运输仓储,www.china-cohc.com
000100,TCL 集团,TCL集团股份有限公司,TCL CORPORATION,广东省惠州市仲恺高新技术开发区十九号小区,100,TCL 集团,1/30/2004,"2,936,931,144","2,801,456,067",华南,广东,惠州市,C5 电子,www.tcl.com
000150,宜华地产,宜华地产股份有限公司,"YIHUA REAL ESTATE CO.,LTD.",广东省汕头市澄海区文冠路北侧,150,宜华地产,8/7/2000,"324,000,000","166,964,384",华南,广东,汕头市,J 房地产业,www.yihuarealestate.com
000151,中成股份,中成进出口股份有限公司,"CHINA NATIONAL COMPLETE PLANT IMPORT & EXPORT CO.,LTD",北京市丰台区科学城10D地块2号楼,151,中成股份,9/6/2000,"295,980,000","266,543,967",华北,北京,北京市,K 社会服务,www.complant-ltd.com/
000152,山 航 Ｂ,山东航空股份有限公司,"SHANDONG AIRLINES CO.,LTD",山东省济南市遥墙国际机场,,,,0,0,华东,山东,济南市,F 运输仓储,www.shandongair.com.cn
000153,丰原药业,安徽丰原药业股份有限公司,"ANHUI FENGYUAN PHARMACEUTICAL CO., LTD",安徽省无为县北门外大街108号,153,丰原药业,9/20/2000,"260,009,200","231,045,200",华东,安徽,巢湖市,C8 医药生物,www.bbcayy.com
000155,川化股份,川化股份有限公司,"SICHUAN CHEMICAL CO.,LTD",中国四川省成都市青白江区大弯镇团结路311号,155,川化股份,9/26/2000,"470,000,000","470,000,000",西南,四川,成都市,C4 石化塑胶,www.scwltd.com
000156,嘉瑞新材,湖南嘉瑞新材料集团股份有限公司,"HUNAN GENUINE NEW MATERIAL GROUP CO.,LTD",湖南省洪江市安江镇大沙坪,156,*ST 嘉瑞,9/6/2000,"118,935,730","63,935,730",华中,湖南,怀化市,C4 石化塑胶,www.chnanplas.com
000157,中联重科,长沙中联重工科技发展股份有限公司,"CHANGSHA ZOOMLION HEAVY INDUSTRY SCIENCE AND TECHNOLOGY DEVELOPMENT CO., LTD",湖南省长沙市银盆南路361 号,157,中联重科,10/12/2000,"1,971,054,705","1,672,455,773",华中,湖南,长沙市,C7 机械设备,www.zoomlion.com
000158,常山股份,石家庄常山纺织股份有限公司,"SHIJIAZHUANG CHANGSHAN TEXTILE CO.,LTD",河北省石家庄市和平东路183号,158,常山股份,7/24/2000,"718,861,000","718,861,000",华北,河北,石家庄市,C1 纺织服装,www.changshantex.com
000159,国际实业,新疆国际实业股份有限公司,"XINJIANG INTERNATIONAL INDUSTRY CO.,LTD",新疆乌鲁木齐市北京南路22号龙岭大厦,159,国际实业,9/26/2000,"240,569,647","240,569,647",西北,新疆,乌鲁木齐市,C4 石化塑胶,www.xjgjsy.com
000160,大路股份,承德大路股份有限公司,"CHENGDE DALU CO., LTD.",河北省承德县下板城镇,,,,0,0,华北,河北,承德市,C1 纺织服装,www.dxtex.com
000168,雷 伊,广东雷伊（集团）股份有限公司,"GUANGDONG RIEYS GROUP CO.,LTD",广东省普宁市军埠镇美新工业园,,,,0,0,华南,广东,揭阳市,C1 纺织服装,www.200168.com
000301,东方市场,江苏吴江中国东方丝绸市场股份有限公司,"Jiangsu Wujiang China Eastern Silk Market Co.,Ltd",江苏省吴江市盛泽镇市场路丝绸股份大厦,301,东方市场,5/29/2000,"1,218,236,445","1,218,236,445",华东,江苏,苏州市,C1 纺织服装,www.cesm.com.cn
000338,潍柴动力,潍柴动力股份有限公司,"Weichai Power Co., Ltd.",山东省潍坊市高新技术产业开发区福寿东街197号甲,338,潍柴动力,4/30/2007,"630,645,683","280,806,046",华东,山东,潍坊市,C7 机械设备,www.weichai.com
000400,许继电气,许继电气股份有限公司,"XJ ELECTRIC CO.,LTD",河南省许昌市许继大道,400,许继电气,4/18/1997,"378,272,000","263,847,833",华中,河南,许昌市,C7 机械设备,www.xjec.com
000401,冀东水泥,唐山冀东水泥股份有限公司,"TANGSHAN JIDONG CEMENT CO.,LTD",河北省唐山市新区林荫路,401,冀东水泥,6/14/1996,"1,212,770,614","1,211,702,679",华北,河北,唐山市,C6 金属非金属,www.jdsn.com.cn
000402,金 融 街,金融街控股股份有限公司,"FINANCIAL STREET HOLDINGS CO., LTD.",北京市西城区金融大街丙17号北京银行大厦11层,402,金 融 街,6/26/1996,"2,481,212,959","2,480,686,459",华北,北京,北京市,J 房地产业,www.jrjkg.com.cn
000403,三九生化,三九宜工生化股份有限公司,Sanjiu Yigong Biopharmaceutical & Chemical Inc.,太原市长治路227号高新国际大厦16层,403,S*ST生化,6/28/1996,"211,683,491","101,486,430",华北,山西,太原市,C4 石化塑胶,www.999yichun.cn
000404,华意压缩,华意压缩机股份有限公司,"HUAYI COMPRESSOR CO., LTD",江西省景德镇市高新区长虹大道1号,404,华意压缩,6/19/1996,"324,581,218","227,468,713",华东,江西,景德镇市,C7 机械设备,www.hua-yi.com
000407,胜利股份,山东胜利股份有限公司,"SHANDONG SHENGLI CO., LTD",山东省济南市高新区天辰大街2238号胜利生物工程园,407,胜利股份,7/3/1996,"499,409,265","496,065,946",华东,山东,济南市,C4 石化塑胶,www.vicome.com
000408,玉源控股,玉源控股股份有限公司,"YUYUAN HOLDING CO., LTD",河北省邯郸市峰峰矿区彭新路21号,408,*ST玉源,6/28/1996,"252,301,500","252,301,500",华北,河北,邯郸市,C6 金属非金属,www.yuyuanholding.com
000409,泰复实业,泰复实业股份有限公司,"TAIFU INDUSTRY CO., LTD",广东省深圳市福田区泰然四路劲松大厦13E,409,ST泰复,6/27/1996,"171,374,148","168,836,854",华南,广东,深圳市,C7 机械设备,
000410,沈阳机床,沈阳机床股份有限公司,"SHENYANG MACHINE TOOL CO.,LTD",辽宁省沈阳市铁西区北二东路10-1号,410,沈阳机床,7/18/1996,"545,470,884","536,162,760",东北,辽宁,沈阳市,C7 机械设备,www.smtcl.com
000411,英特集团,浙江英特集团股份有限公司,"ZHEJIANG INT’L GROUP CO.,LTD",浙江省杭州市延安路508号,411,英特集团,7/16/1996,"207,449,946","203,634,696",华东,浙江,杭州市,H 批发零售,www.kaidigroup.com
000413,宝 石,石家庄宝石电子玻璃股份有限公司,"SHIJIAZHUANG BAOSHI ELECTRONIC GLASS CO.,LTD",河北省石家庄市高新技术产业开发区黄河大道9号,413,宝 石Ａ,9/25/1996,"283,000,000","282,815,059",华北,河北,石家庄市,C5 电子,
000415,汇通集团,新疆汇通(集团)股份有限公司,"XIN JIANG HUI TONG(GROUP)CO.,LTD",中国新疆维吾尔自治区乌鲁木齐市黄河路93号,415,*ST汇通,7/16/1996,"300,335,834","300,294,880",西北,新疆,乌鲁木齐市,E 建筑业,www.huitonggroup.com.cn
000416,民生投资,民生投资管理股份有限公司,"Minsheng Investment Management Co.,Ltd",青岛市崂山区株洲路151号,416,民生投资,7/19/1996,"531,871,494","411,699,326",华东,山东,青岛市,C0 食品饮料,
000417,合肥百货,合肥百货大楼集团股份有限公司,"HEFEI DEPARTMENT STORE GROUP CO.,LTD",安徽省合肥市长江中路150号,417,合肥百货,8/12/1996,"479,722,800","477,186,680",华东,安徽,合肥市,H 批发零售,www.hfbh.com.cn
000418,小天鹅,无锡小天鹅股份有限公司,"WUXI LITTLE SWAN CO.,LTD",江苏省无锡市国家高新技术开发区汉江路1号,418,小天鹅Ａ,3/28/1997,"356,619,888","348,130,368",华东,江苏,无锡市,C7 机械设备,www.littleswan.com
000419,通程控股,长沙通程控股股份有限公司,"CHANGSHA TONGCHENG HOLDINGS CO.,LTD",湖南省长沙市劳动西路589号,419,通程控股,8/16/1996,"351,016,310","350,769,308",华中,湖南,长沙市,H 批发零售,
000420,吉林化纤,吉林化纤股份有限公司,"JILIN CHEMICAL FIBRE CO ., LTD",吉林省吉林市九站街516-1号,420,吉林化纤,8/2/1996,"378,257,464","314,453,537",东北,吉林,吉林市,C4 石化塑胶,www.jlhxjt.com
000421,南京中北,南京中北(集团)股份有限公司,"NANJING ZHONGBEI (GROUP) CO., LTD",江苏省南京市通江路16号,421,南京中北,8/6/1996,"351,684,100","351,639,187",华东,江苏,南京市,K 社会服务,www.zhong-bei.com
000422,湖北宜化,湖北宜化化工股份有限公司,"HUBEI YIHUA CHEMICAL INDUSTRY CO., LTD",湖北省宜昌市猇亭大道399号,422,湖北宜化,8/15/1996,"542,378,052","542,320,925",华中,湖北,宜昌市,C4 石化塑胶,www.hbyh.cn
000423,东阿阿胶,山东东阿阿胶股份有限公司,"SHAN DONG DONG-E E-JIAO CO., LTD",山东省东阿县阿胶街78号,423,东阿阿胶,7/29/1996,"654,021,537","532,701,937",华东,山东,聊城市,C8 医药生物,www.dongeejiao.com
000425,徐工机械,徐工集团工程机械股份有限公司,"XCMG Construction Machinery Co., Ltd.",江苏省徐州经济开发区工业一区,425,徐工机械,8/28/1996,"867,444,651","352,688,228",华东,江苏,徐州市,C7 机械设备,www.xcmg.com
000426,富龙热电,赤峰富龙热电股份有限公司,"CHIFENG FULONG THERMAL POWER CO., LTD",内蒙古赤峰市松山区西站大街8号,426,富龙热电,8/28/1996,"380,676,518","208,824,133",华北,内蒙古,赤峰市,D 水电煤气,www.ddjc.com.cn
000428,华天酒店,湖南华天大酒店股份有限公司,"HUNAN HUATIAN GREAT HOTEL CO.,LTD.",湖南省长沙市解放东路300号,428,华天酒店,8/8/1996,"553,020,000","516,550,650",华中,湖南,长沙市,K 社会服务,www.huatian-hotel.com
000429,粤 高 速,广东省高速公路发展股份有限公司,"GUANGDONG PROVINCIAL EXPRESSWAY DEVELOPMENT CO.,LTD",广东省广州市白云路85号,429,粤高速Ａ,2/20/1998,"908,367,748","466,120,278",华南,广东,广州市,F 运输仓储,www.gpedcl.com.cn
000430,张 家 界,张家界旅游开发股份有限公司,"ZHANG JIA JIE TOURISM DEVELOPMENT CO.,LTD",湖南省张家界市南庄坪1号花园,430,*ST张股,8/29/1996,"220,035,417","110,787,829",华中,湖南,张家界市,K 社会服务,www.zjjgf.com
000468,宁 通 信,南京普天通信股份有限公司,"NANJING PUTIAN TELECOMMUNICATIONS CO., LTD",江苏省南京市江宁经济技术开发区秦淮路58号,,,,0,0,华东,江苏,南京市,G 信息技术,www.postel.com.cn
000488,晨鸣纸业,山东晨鸣纸业集团股份有限公司,"SHANDONG CHENMING PAPER HOLDINGS CO.,LTD",山东省寿光市圣城街595号,488,晨鸣纸业,11/20/2000,"1,113,278,456","809,795,395",华东,山东,潍坊市,C3 造纸印刷,www.chenmingpaper.com
