公司代码,公司简称,公司全称,英文名称,注册地址,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,地 区,省 份,城 市,所属行业,公司网址
300027,华谊兄弟,华谊兄弟传媒股份有限公司,HUAYI BROTHERS MEDIA CORPORATION,浙江省东阳市横店影视产业实验区C1-001,300027,华谊兄弟,10/30/2009,"336,000,000","84,000,000",华东,浙江,金华市,L 传播文化,www.hbpictures.com
300028,金亚科技,成都金亚科技股份有限公司,"CHENGDU GEEYA TECHNOLOGY CO.,LTD",四川省成都市蜀汉西路,300028,金亚科技,10/30/2009,"147,000,000","37,000,000",西南,四川,成都市,G 信息技术,www.geeya.cn
300029,天龙光电,江苏华盛天龙光电设备股份有限公司,"Jiang Su Hua Sheng Tian Long Photoelectric Equipment Co.,Ltd.",江苏省金坛经济开发区华城路318号,300029,天龙光电,12/25/2009,"200,000,000","50,000,000",华东,江苏,常州市,C7 机械设备,www.hstl.cn
300030,阳普医疗,广州阳普医疗科技股份有限公司,"GUANGZHOU IMPROVE MEDICAL INSTRUMENTS CO., LTD.",广州开发区科学城开源大道102号,300030,阳普医疗,12/25/2009,"74,000,000","18,600,000",华南,广东,广州市,C7 机械设备,www.improve-medical.com
300031,宝通带业,无锡宝通带业股份有限公司,"WUXI BOTON BELT CO.,LTD.",无锡市新区新泰工业配套园A-23-8地块,300031,宝通带业,12/25/2009,"100,000,000","25,000,000",华东,江苏,无锡市,C4 石化塑胶,www.btdy.com
300032,金龙机电,金龙机电股份有限公司,"JINLONG MACHINERY & ELECTRONIC CO., LTD.",浙江省温州市乐清市北白象镇进港大道边金龙科技园,300032,金龙机电,12/25/2009,"142,700,000","35,700,000",华东,浙江,温州市,C5 电子,www.kotl.com.cn
300033,同花顺,浙江核新同花顺网络信息股份有限公司,"Hexin Flush Information Network Co.,Ltd.",杭州市西湖区教工路276号德雅花园5幢20号,300033,同花顺,12/25/2009,"134,400,000","33,600,000",华东,浙江,杭州市,G 信息技术,www.10jqka.com.cn
300034,钢研高纳,北京钢研高纳科技股份有限公司,"Beijing cisri-Gaona Materials & Technology Co., Ltd.",北京市海淀区大柳树南村19号,300034,钢研高纳,12/25/2009,"117,771,197","30,000,000",华北,北京,北京市,C6 金属非金属,www.cisri-gaona.com.cn
300035,中科电气,湖南中科电气股份有限公司,"Hunan Zhongke Electric Co.,Ltd.",湖南省岳阳市经济技术开发区八字门营盘岭,300035,中科电气,12/25/2009,"61,500,000","15,500,000",华中,湖南,岳阳市,C7 机械设备,www.cseco.cn
300036,超图软件,北京超图软件股份有限公司,"Beijing SuperMap Software Co.,Ltd.",北京市朝阳区将台路乙21号佳丽饭店1116室,300036,超图软件,12/25/2009,"75,000,000","19,000,000",华北,北京,北京市,G 信息技术,www.supermap.com.cn
300037,新宙邦,深圳新宙邦科技股份有限公司,"SHENZHEN CAPCHEM TECHNOLOGY CO.,LTD.",深圳市龙岗区坪山沙坣同富裕工业区,300037,新宙邦,1/8/2010,"107,000,000","27,000,000",华南,广东,深圳市,C4 石化塑胶,www.capchem.com
300038,梅泰诺,北京梅泰诺通信技术股份有限公司,"Beijing Meteno Communication Technology Co.,Ltd",北京市西城区新街口外大街28号主楼302室（德胜园区）,300038,梅泰诺,1/8/2010,"91,570,000","23,000,000",华北,北京,北京市,G 信息技术,www.meteno.com.cn
300039,上海凯宝,上海凯宝药业股份有限公司,"Shanghai Kaibao Pharmaceutical Co.,Ltd.",上海市工业综合开发区沪杭公路1542号,300039,上海凯宝,1/8/2010,"175,360,000","43,840,000",华东,上海,上海市,C8 医药生物,www.xykb.com
300040,九洲电气,哈尔滨九洲电气股份有限公司,"HARBIN JIUZHOU ELECTRIC CO.,LTD.",黑龙江省哈尔滨市南岗区哈平路162号,300040,九洲电气,1/8/2010,"69,450,000","18,000,000",东北,黑龙江,哈尔滨市,C7 机械设备,www.jze.com.cn
300041,回天胶业,湖北回天胶业股份有限公司,"HUBEI HUITIAN ADHESIVE ENTERPRISE CO.,Ltd",湖北省襄樊市国家高新技术开发区航天路7号,300041,回天胶业,1/8/2010,"65,998,016","17,000,000",华中,湖北,襄樊市,C4 石化塑胶,www.huitian.net.cn
300042,朗科科技,深圳市朗科科技股份有限公司,"Netac Technology Co.,Ltd.",深圳市南山区高新区中国科技开发院孵化大楼六楼,300042,朗科科技,1/8/2010,"66,800,000","16,800,000",华南,广东,深圳市,G 信息技术,www.netac.com.cn
