代码   	名称	涨幅%%	现价	日涨跌	买入价	卖出价	总量	现量	涨速%%	换手%%	今开	昨收	最高	最低	市盈(动)	总金额	
999997	Ｂ股指数	-0.01	223.00	-0.03	--- 	--- 	474190	--- 	          0.14	--- 	223.02	223.03	226.30	218.02	--- 	420287808	
000001	上证指数	0.39	2698.76	10.38	--- 	--- 	99885547	--- 	          0.14	--- 	2690.86	2688.38	2713.06	2646.59	--- 	97794236416	
000002	Ａ股指数	0.39	2829.79	10.93	--- 	--- 	81379860	--- 	          0.14	--- 	2821.47	2818.86	2844.73	2775.09	--- 	95019065344	
000003	Ｂ股指数	-0.01	223.00	-0.03	--- 	--- 	474190	--- 	          0.14	--- 	223.02	223.03	226.30	218.02	--- 	420287808	
000004	工业指数	0.11	2207.43	2.44	--- 	--- 	46442010	--- 	          0.12	--- 	2207.41	2204.99	2225.84	2166.08	--- 	56794521600	
000005	商业指数	-0.83	3533.97	-29.48	--- 	--- 	3595397	--- 	          0.12	--- 	3573.28	3563.45	3602.14	3450.17	--- 	4326665216	
000006	地产指数	2.11	3377.38	69.87	--- 	--- 	3412913	--- 	          0.22	--- 	3318.03	3307.51	3386.44	3291.13	--- 	2312534272	
000007	公用指数	-1.29	5220.19	-68.03	--- 	--- 	9755308	--- 	          0.12	--- 	5278.21	5288.22	5332.19	5151.74	--- 	8119258624	
000008	综合指数	1.23	2327.23	28.18	--- 	--- 	18648422	--- 	          0.17	--- 	2301.76	2299.05	2334.80	2276.53	--- 	23886370816	
000010	上证180	0.95	6226.64	58.76	--- 	--- 	35390410	--- 	          0.16	--- 	6185.67	6167.88	6256.92	6099.23	--- 	44246835200	
000011	基金指数	0.97	4230.32	40.47	--- 	--- 	18031497	--- 	          0.05	--- 	4192.84	4189.85	4240.05	4161.52	--- 	2354889984	
000012	国债指数	0.01	124.92	0.01	--- 	--- 	549154	--- 	--- 	--- 	124.94	124.91	124.97	124.92	--- 	554115136	
000013	企债指数	0.10	140.03	0.14	--- 	--- 	656647	--- 	--- 	--- 	139.97	139.89	140.06	139.83	--- 	592344704	
000015	红利指数	0.76	2208.93	16.69	--- 	--- 	8376425	--- 	          0.16	--- 	2191.04	2192.24	2215.82	2163.27	--- 	8076406784	
